,Pedigree,QGIS_rows,QGIS_range,PlotID,Date,Phenotype,Value,date,doy,gdd
246,B37 X H95,10,10_25,730,2020-06-15,NDVI,0.365221568156313,200615,167,198.91
247,W10004_0798 X PHP02,9,9_25,729,2020-06-15,NDVI,0.372414948538893,200615,167,198.91
248,W10004_0129 X PHP02,8,8_25,728,2020-06-15,NDVI,0.370847417632627,200615,167,198.91
249,W10004_0713 X PHP02,7,7_25,727,2020-06-15,NDVI,0.367012216678345,200615,167,198.91
250,W10004_1118 X PHP02,5,5_25,725,2020-06-15,NDVI,0.35979767619402,200615,167,198.91
251,W10004_0935 X PHP02,4,4_25,724,2020-06-15,NDVI,0.359515433502526,200615,167,198.91
252,W10004_0134 X PHP02,3,3_25,723,2020-06-15,NDVI,0.363940014746879,200615,167,198.91
253,PHG39 X PHN82,2,2_25,722,2020-06-15,NDVI,0.360424112803221,200615,167,198.91
254,W10004_0087 X PHP02,1,1_25,721,2020-06-15,NDVI,0.366891342571463,200615,167,198.91
255,W10004_0892 X PHP02,21,21_25,741,2020-06-15,NDVI,0.349372057606333,200615,167,198.91
256,W10004_0213 X PHP02,22,22_25,742,2020-06-15,NDVI,0.372289223813975,200615,167,198.91
257,W10004_0306 X PHP02,23,23_25,743,2020-06-15,NDVI,0.348807196374284,200615,167,198.91
258,W10004_0970 X PHP02,24,24_25,744,2020-06-15,NDVI,0.378775785569621,200615,167,198.91
259,W10004_0171 X PHP02,14,14_24,707,2020-06-15,NDVI,0.37670275630458,200615,167,198.91
260,W10004_0079 X PHP02,13,13_24,708,2020-06-15,NDVI,0.378046994718398,200615,167,198.91
261,W10004_0969 X PHP02,12,12_24,709,2020-06-15,NDVI,0.3667256533239,200615,167,198.91
262,W10004_0612 X PHP02,11,11_24,710,2020-06-15,NDVI,0.370804858797028,200615,167,198.91
263,W10004_0832 X PHP02,10,10_24,711,2020-06-15,NDVI,0.369939150571236,200615,167,198.91
264,W10004_1004 X PHP02,9,9_24,712,2020-06-15,NDVI,0.373465669864918,200615,167,198.91
